annee;cnc_numero;visa;titre;genre;nationalite;distributeur;classification;date_sortie;art_et_essai;etablissements_s1;titre_clean;distributeur_clean
2009;1900026097;120032;36 VUES DU PIC SAINT LOUP;COMEDIE;FRANCE / ITALIE;LES FILMS DU LOSANGE                                            ;TP;2009-09-09;OUI;32;36 vues du pic saint loup;les films du losange                                            
2012;2011001995;130603;360;DRAME;GRANDE BRETAGNE  / AUTRICHE / FRANCE / BRESIL;WILD BUNCH                                                      ;TP;2012-07-25;OUI;72;360;wild bunch                                                      
2024;2022002680;157071;37 : L'OMBRE ET LA PROIE;THRILLER;FRANCE;SONY PICTURES ENTERTAINMENT FRANCE SAS;TPA;2024-11-20;;168;37 : l ombre et la proie;sony pictures entertainment france sas
2012;2010002612;127961;38 TEMOINS;DRAME;FRANCE  / BELGIQUE;DIAPHANA DISTRIBUTION                                           ;TP;2012-03-14;OUI;130;38 temoins;diaphana distribution                                           
2023;2021001375;155262;38°5 QUAI DES ORFEVRES;POLICIER;FRANCE;KMBO;TP;2023-06-21;NON;337;38°5 quai des orfevres;kmbo
2024;2022005237;158081;39 45 ELLES N'ONT RIEN OUBLIE;DOCUMENTAIRE;FRANCE;ELKIN COMMUNICATION;TP;2024-05-29;OUI;19;39 45 elles n ont rien oublie;elkin communication
2008;2008293304;120253;3H10 POUR YUMA;WESTERN;ETATS UNIS;TF1 DROITS AUDIOVISUELS                                         ;TP;2008-03-26;NON;210;3h10 pour yuma;tf1 droits audiovisuels                                         
2014;2013003510;139209;3X3D;COMEDIE DRAMATIQUE;PORTUGAL;URBAN DISTRIBUTION                                              ;TP;2014-04-30;OUI;3;3x3d;urban distribution                                              
2017;2014000988;2014000988;4 48;DRAME;FRANCE;LES FILMS SAINT ANDRE DES ARTS;TPA;2017-02-22;NON;1;4 48;les films saint andre des arts
2007;2007993650;118712;4 MOIS, 3 SEMAINES, 2 JOURS;DRAME;ROUMANIE;SOCIETE D’EXPLOITATION DES FILMS MAJESTIC;TPA;2007-08-29;OUI;170;4 mois, 3 semaines, 2 jours;societe d’exploitation des films majestic
2024;2024002630;161932;4 ZEROS;COMEDIE;FRANCE;SOCIETE NOUVELLE DE DISTRIBUTION;TP;2024-10-23;;409;4 zeros;societe nouvelle de distribution
2006;2006993489;115831;4:30;DRAME;SINGAPOUR;CELLULOID DREAMS SALES;TP;2006-07-26;OUI;8;4:30;celluloid dreams sales
2013;2013000127;135847;40 ANS : MODE D'EMPLOI;COMEDIE;ETATS UNIS;UNIVERSAL PICTURES INTERNATIONAL FRANCE SAS                     ;TP;2013-03-13;NON;183;40 ans : mode d emploi;universal pictures international france sas                     
2005;2005293764;113589;40 ANS, TOUJOURS PUCEAU;COMEDIE;ETATS UNIS;PARAMOUNT PICTURES FRANCE                                       ;TP;2005-11-09;NON;305;40 ans, toujours puceau;paramount pictures france                                       
2002;2002293453;105923;40 JOURS & 40 NUITS;COMEDIE;ETATS UNIS;PARAMOUNT PICTURES FRANCE                                       ;TP;2002-07-10;NON;480;40 jours & 40 nuits;paramount pictures france                                       
2016;2015002637;143394;45 ANS;DRAME;GRANDE BRETAGNE;AD VITAM                                                        ;TP;2016-01-27;OUI;113;45 ans;ad vitam                                                        
2014;2014000474;139270;47 RONIN;FANTASTIQUE;ETATS UNIS;UNIVERSAL PICTURES INTERNATIONAL FRANCE SAS                     ;TP;2014-04-02;NON;332;47 ronin;universal pictures international france sas                     
2013;2013001236;136779;48 HEURES CHRONO;THRILLER;ETATS UNIS;DRUGSTORE CHAMPS ELYSEES                                        ;12;2013-05-29;NON;1;48 heures chrono;drugstore champs elysees                                        
2008;2008083332;113270;48 HEURES PAR JOUR;COMEDIE;FRANCE;PYRAMIDE                                                        ;TP;2008-06-04;NON;198;48 heures par jour;pyramide                                                        
2012;2011003140;135264;4H44 DERNIER JOUR SUR TERRE;SCIENCE FICTION;ETATS UNIS;CAPRICCI FILMS                                                  ;TP;2012-12-19;OUI;33;4h44 dernier jour sur terre;capricci films                                                  
2013;2012002634;135956;5 CAMERAS BRISEES;DOCUMENTAIRE;FRANCE / ISRAEL / PALESTINE;ZEUGMA FILMS                                                    ;TP;2013-02-20;OUI;10;5 cameras brisees;zeugma films                                                    
2013;2013000886;136391;5 DANSES;DRAME;ETATS UNIS;OPTIMALE                                                        ;TP;2013-06-19;OUI;2;5 danses;optimale                                                        
2004;2004083823;111454;5 ENFANTS ET MOI;AVENTURES;GRANDE BRETAGNE / FRANCE;METROPOLITAN FILMEXPORT                                         ;TP;2004-10-20;NON;388;5 enfants et moi;metropolitan filmexport                                         
2019;2019000600;150319;5 EST LE NUMERO PARFAIT;DRAME;ITALIE / BELGIQUE / FRANCE;NOUR FILMS                                                      ;TP;2019-10-23;OUI;29;5 est le numero parfait;nour films                                                      
2023;2018000348;148060;5 HECTARES;COMEDIE;FRANCE;PANAME DISTRIBUTION;TP;2023-12-27;OUI;153;5 hectares;paname distribution
2004;2004983123;109913;5 OBSTRUCTIONS;COMEDIE DRAMATIQUE;DANEMARK;FILMS SANS FRONTIERES                                           ;TP;2004-03-10;OUI;20;5 obstructions;films sans frontieres                                           
2000;2000293907;101032;50 DEGRES FAHRENHEIT;POLICIER;ETATS UNIS;LOLISTAR;TP;2000-12-06;NON;111;50 degres fahrenheit;lolistar
2011;2011002538;131125;50/50;COMEDIE DRAMATIQUE;ETATS UNIS;METROPOLITAN FILMEXPORT                                         ;TP;2011-11-16;NON;65;50/50;metropolitan filmexport                                         
2009;2009993617;123536;500 JOURS ENSEMBLE;COMEDIE;ETATS UNIS;TWENTIETH CENTURY FOX FRANCE INC                                ;TP;2009-09-30;NON;140;500 jours ensemble;twentieth century fox france inc                                
2008;2007083817;117796;57000 KM ENTRE NOUS;COMEDIE DRAMATIQUE;FRANCE;PIERRE GRISE DISTRIBUTION                                       ;TP;2008-01-23;OUI;5;57000 km entre nous;pierre grise distribution                                       
2021;2018005318;149929;5EME SET;DRAME;FRANCE;APOLLO FILMS DISTRIBUTION;TP;2021-06-16;OUI;240;5eme set;apollo films distribution
2004;2004093434;107543;5X2;COMEDIE DRAMATIQUE;FRANCE;MARS DISTRIBUTION;TP;2004-09-01;OUI;225;5x2;mars distribution
1998;1998293506;094990;6 JOURS, 7 NUITS;COMEDIE;ETATS UNIS;GAUMONT BUENA VISTA INTERNATIONAL;TP;1998-08-26;NON;420;6 jours, 7 nuits;gaumont buena vista international
2000;2000293526;099840;60 SECONDES CHRONO;POLICIER;ETATS UNIS;GAUMONT BUENA VISTA INTERNATIONAL;TP;2000-08-23;NON;684;60 secondes chrono;gaumont buena vista international
2016;2016001463;144355;600 EUROS;DRAME;FRANCE;LA VINGT-CINQUIEME HEURE                                        ;TP;2016-06-08;OUI;11;600 euros;la vingt-cinquieme heure                                        
2023;2022006233;158854;65 - LA TERRE D'AVANT;SCIENCE FICTION;ETATS UNIS;SONY PICTURES ENTERTAINMENT;TPA;2023-03-15;NON;332;65 - la terre d avant;sony pictures entertainment
2019;2017003683;149106;68, MON PERE ET LES CLOUS;DOCUMENTAIRE;FRANCE;SOPHIE DULAC PRODUCTIONS                                        ;TP;2019-05-01;OUI;16;68, mon pere et les clous;sophie dulac productions                                        
2007;2006083816;114186;7 ANS;DRAME;FRANCE;PYRAMIDE                                                        ;TP;2007-02-21;OUI;31;7 ans;pyramide                                                        
2003;2003093367;101882;7 ANS DE MARIAGE...;COMEDIE;FRANCE;UFD;TP;2003-06-25;NON;434;7 ans de mariage...;ufd
2005;2005293560;112920;7 ANS DE SEDUCTION;COMEDIE;ETATS UNIS;SOCIETE NOUVELLE DE DISTRIBUTION                                ;TP;2005-08-10;NON;197;7 ans de seduction;societe nouvelle de distribution                                
2021;2020001949;155462;7 JOURS;ANIMATION;JAPON;EUROZOOM;TP;2021-10-06;OUI;91;7 jours;eurozoom
2012;2011000341;128944;7 JOURS A LA HAVANE;DRAME;ESPAGNE  / FRANCE;REZO FILMS                                                      ;TP;2012-05-30;OUI;73;7 jours a la havane;rezo films                                                      
2002;2002293721;103595;7 JOURS ET UNE VIE;COMEDIE;ETATS UNIS;UFD;TP;2002-08-14;NON;127;7 jours et une vie;ufd
2017;2014002103;139987;7 JOURS PAS PLUS;COMEDIE;BELGIQUE / FRANCE;OCEAN FILMS DISTRIBUTION INT                                    ;TP;2017-08-30;NON;146;7 jours pas plus;ocean films distribution int                                    
2009;1900026031;119805;7 MINUTES AU PARADIS;DRAME;ISRAEL / FRANCE;CINEDITIONS                                                     ;TP;2009-10-14;OUI;9;7 minutes au paradis;cineditions                                                     
2018;2016001884;144570;7 MINUTI;COMEDIE DRAMATIQUE;ITALIE / FRANCE / SUISSE;KANIBAL FILMS                                                   ;TP;2018-05-09;;1;7 minuti;kanibal films                                                   
2013;2012003379;135382;7 PSYCHOPATHS;COMEDIE;GRANDE BRETAGNE;LE PACTE                                                        ;TPA;2013-01-30;NON;163;7 psychopaths;le pacte                                                        
2014;2014002644;140320;'71;GUERRE;GRANDE BRETAGNE;AD VITAM                                                        ;12;2014-11-05;OUI;85;71;ad vitam                                                        
2007;2007293668;118634;7H58 CE SAMEDI-LA;THRILLER;ETATS UNIS;UGC PH;TP;2007-09-26;OUI;120;7h58 ce samedi-la;ugc ph
2018;2017000498;145976;8 AVENUE LENINE;DOCUMENTAIRE;FRANCE;POINT DU JOUR;TP;2018-11-14;OUI;9;8 avenue lenine;point du jour
1999;1999393519;097759;8 FEMMES 1 2;COMEDIE DRAMATIQUE;GRANDE BRETAGNE;FILMS SANS FRONTIERES                                           ;12;1999-08-25;OUI;40;8 femmes 1 2;films sans frontieres                                           
2003;2003293494;108593;8 JOURS ET 8 NUITS A CANCUN;COMEDIE;ETATS UNIS;METROPOLITAN FILMEXPORT                                         ;TP;2003-07-30;NON;149;8 jours et 8 nuits a cancun;metropolitan filmexport                                         
2003;2003293109;107494;8 MILE;MUSICAL;ETATS UNIS;PARAMOUNT PICTURES FRANCE                                       ;TPA;2003-02-26;NON;530;8 mile;paramount pictures france                                       
1999;1999293154;096273;8 MM;POLICIER;ETATS UNIS;SONY PICTURES TELEVISION DISTRIBUTION (FRANCE)                  ;16;1999-03-10;NON;250;8 mm;sony pictures television distribution (france)                  
1997;1997293701;093054;8 TETES DANS UN SAC;COMEDIE;ETATS UNIS;CTV INTERNATIONAL                                               ;TP;1997-12-31;NON;54;8 tetes dans un sac;ctv international                                               
2012;2012000831;132960;80 JOURS;DRAME;ESPAGNE;EPICENTRE FILMS                                                 ;TP;2012-06-13;OUI;22;80 jours;epicentre films                                                 
2004;2004993160;107051;800 BALLES;COMEDIE;ESPAGNE;LA FABRIQUE DE FILMS;TP;2004-04-14;OUI;22;800 balles;la fabrique de films
2002;2002073175;102914;800 KILOMETRES DE DIFFERENCE,ROMANCE;DOCUMENTAIRE;FRANCE;CINE CLASSIC;TP;2002-03-06;OUI;10;800 kilometres de difference,romance;cine classic
2007;2007293357;116796;88 MINUTES;THRILLER;ETATS UNIS;METROPOLITAN FILMEXPORT                                         ;TPA;2007-05-30;NON;195;88 minutes;metropolitan filmexport                                         
2010;2009093151;122507;8TH WONDERLAND;COMEDIE DRAMATIQUE;FRANCE;M A D FILMS;TP;2010-05-12;NON;92;8th wonderland;m a d films
2018;2014001833;139822;9 DOIGTS;THRILLER;FRANCE / PORTUGAL;CAPRICCI FILMS                                                  ;TP;2018-03-21;OUI;10;9 doigts;capricci films                                                  
2021;2020002530;154140;9 JOURS A RAQQA;DOCUMENTAIRE;FRANCE;L’ATELIER DISTRIBUTION;TP;2021-09-08;OUI;41;9 jours a raqqa;l’atelier distribution
2008;2008093729;118867;9 MM;DRAME;BELGIQUE / FRANCE;ALBANY FILMS                                                    ;TP;2008-12-31;OUI;11;9 mm;albany films                                                    
2013;2012002310;134562;9 MOIS FERME;COMEDIE;FRANCE;WILD BUNCH                                                      ;TP;2013-10-16;OUI;381;9 mois ferme;wild bunch                                                      
2005;2005373131;111390;9 SONGS;EROTIQUE;GRANDE BRETAGNE;WILD BUNCH DISTRIBUTION                                         ;18;2005-03-02;OUI;24;9 songs;wild bunch distribution                                         
2011;2010002307;125910;9.3. LA BELLE REBELLE;DOCUMENTAIRE;FRANCE;ADR PRODUCTIONS                                                 ;TP;2011-01-26;OUI;4;9.3. la belle rebelle;adr productions                                                 
2019;2019000926;150581;90'S;COMEDIE DRAMATIQUE;ETATS UNIS;DIAPHANA DISTRIBUTION                                           ;TPA;2019-04-24;OUI;75;90 s;diaphana distribution                                           
2014;2013000580;136145;96 HEURES;THRILLER;FRANCE;ARP MERMOZ;TP;2014-04-23;NON;357;96 heures;arp mermoz
2007;2007093715;101080;99 FRANCS;COMEDIE;FRANCE;PATHE DISTRIBUTION                                              ;TPA;2007-09-26;NON;416;99 francs;pathe distribution                                              
2023;2022003407;159124;99 MOONS;DRAME;SUISSE;LA VINGT CINQUIEME HEURE DISTRIBUTION;12;2023-05-10;OUI;16;99 moons;la vingt cinquieme heure distribution
2006;2006093017;114312;9M2 POUR DEUX;DOCUMENTAIRE;FRANCE;SHELLAC                                                         ;TP;2006-02-01;OUI;10;9m2 pour deux;shellac                                                         
2002;2002083326;101029;A + POLLUX;COMEDIE;FRANCE;MAGOURIC DISTRIBUTION;TP;2002-07-03;OUI;69;a + pollux;magouric distribution
2015;2012001954;133976;A 14 ANS;DRAME;FRANCE;AD VITAM                                                        ;TPA;2015-02-25;OUI;27;a 14 ans;ad vitam                                                        
2018;2017001042;146240;A 2 HEURES DE PARIS;COMEDIE;FRANCE;KANIBAL FILMS                                                   ;TP;2018-06-27;OUI;13;a 2 heures de paris;kanibal films                                                   
2010;2010000257;126148;A 5 HEURES DE PARIS;COMEDIE;ISRAEL;MEMENTO FILMS DISTRIBUTION                                      ;TP;2010-06-23;OUI;39;a 5 heures de paris;memento films distribution                                      
1998;1998293160;092919;A ARMES EGALES;AVENTURES;ETATS UNIS;GAUMONT BUENA VISTA INTERNATIONAL;TP;1998-03-04;NON;270;a armes egales;gaumont buena vista international
2013;2010001154;126333;A BAS BRUIT;DRAME;FRANCE;LES FILMS DU PARADOXE                                           ;TP;2013-06-05;OUI;5;a bas bruit;les films du paradoxe                                           
2017;2017003836;147645;A BEAUTIFUL DAY;THRILLER;GRANDE BRETAGNE;SOCIETE NOUVELLE DE DISTRIBUTION                                ;12A;2017-11-08;OUI;147;a beautiful day;societe nouvelle de distribution                                
2016;2016000879;144227;A BIGGER SPLASH;DRAME;ITALIE;STUDIOCANAL                                                     ;TPA;2016-04-06;NON;58;a bigger splash;studiocanal                                                     
2006;2006993324;113799;A BITTERSWEET LIFE;THRILLER;COREE;STUDIOCANAL                                                     ;12A;2006-05-10;OUI;42;a bittersweet life;studiocanal                                                     
