annee;cnc_numero;visa;titre;genre;nationalite;distributeur;classification;date_sortie;art_et_essai;etablissements_s1;titre_clean;distributeur_clean
2003;2003293160;107528;THE HOURS;DRAME;GRANDE BRETAGNE;TFM DISTRIBUTION;TP;2003-03-19;OUI;186;the hours;tfm distribution
1997;1997093354;090594;THE HOUSE;COMEDIE DRAMATIQUE;FRANCE / LITUANIE / PORTUGAL;LES GRANDS FILMS CLASSIQUES                                     ;TP;1997-10-01;OUI;2;the house;les grands films classiques                                     
2000;2000283375;093493;THE HOUSE OF YES;COMEDIE DRAMATIQUE;ETATS UNIS;COMPAGNIE INTERNATIONALE DE PRODUCTIONS AUDIOVISUELLES - CIPA   ;TP;2000-05-24;OUI;2;the house of yes;compagnie internationale de productions audiovisuelles - cipa   
2018;2016004562;145672;THE HOUSE THAT JACK BUILT;DRAME;DANEMARK / SUEDE / ALLEMAGNE / FRANCE;LES FILMS DU LOSANGE                                            ;16;2018-10-17;OUI;67;the house that jack built;les films du losange                                            
2010;2010001605;126732;THE HOUSEMAID;DRAME;COREE DU SUD;PRETTY PICTURES                                                 ;12;2010-09-15;OUI;55;the housemaid;pretty pictures                                                 
2022;2021004203;156336;THE HOUSEWIFE;THRILLER;JAPON;ART HOUSE;TP;2022-03-09;OUI;67;the housewife;art house
2024;2023005241;162100;THE HUMAN SURGE 3;DOCUMENTAIRE;TIERS;NORTE DISTRIBUTION;TP;2024-07-03;OUI;2;the human surge 3;norte distribution
2015;2015000862;142035;THE HUMBLING;DRAME;ETATS UNIS;METROPOLITAN FILMEXPORT                                         ;TP;2015-04-08;NON;32;the humbling;metropolitan filmexport                                         
2020;2020001193;153109;THE HUNT;AVENTURES;ETATS UNIS;UNIVERSAL PICTURES INTERNATIONAL FRANCE SAS;12;2020-06-22;NON;177;the hunt;universal pictures international france sas
2011;2010001732;126918;THE HUNTER;THRILLER;ALLEMAGNE;SOPHIE DULAC DISTRIBUTION                                       ;TP;2011-02-16;OUI;11;the hunter;sophie dulac distribution                                       
2013;2013000980;136810;THE ICEMAN;THRILLER;ETATS UNIS;METROPOLITAN FILMEXPORT                                         ;TPA;2013-06-05;NON;112;the iceman;metropolitan filmexport                                         
2013;2013002285;137837;THE IMMIGRANT;DRAME;ETATS UNIS;WILD BUNCH                                                      ;TP;2013-11-27;OUI;253;the immigrant;wild bunch                                                      
2012;2012003407;135391;THE IMPOSSIBLE;DRAME;ESPAGNE;SOCIETE NOUVELLE DE DISTRIBUTION                                ;TPA;2012-11-21;NON;265;the impossible;societe nouvelle de distribution                                
1996;1997293057;091392;THE INCREDIBLY TRUE ADVENTURE OF TWO GIRLS IN LOVE;COMEDIE;ETATS UNIS;LES FILMS DU CHERCHE MIDI;TP;1996-12-18;NON;5;the incredibly true adventure of two girls in love;les films du cherche midi
2009;2009994208;124091;THE INFORMANT !;COMEDIE;ETATS UNIS;WARNER BROS. ENTERTAINMENT FRANCE                               ;TP;2009-09-30;OUI;257;the informant !;warner bros. entertainment france                               
2007;2007093765;115514;THE INNER LIFE OF MARTIN FROST;COMEDIE DRAMATIQUE;FRANCE / PORTUGAL / ESPAGNE;ALFAMA FILMS PRODUCTION                                         ;TP;2007-11-14;OUI;12;the inner life of martin frost;alfama films production                                         
